True,Prediction,%Char1,%Char2,%Char3,%Char4,%Char5,%Char6,%Char7
H7DWu6j,H7DWuGj,0.9918785095214844,0.9989000558853148,0.9838396906852722,0.9996675252914428,0.6232783794403076,0.3954427242279053,0.4158344268798828
Gu6vHjy,GU6VHjy,0.9264176487922668,0.8182147145271301,0.5689725279808044,0.5556528568267822,0.996635377407074,0.8856985569000244,0.8057308197021484
6PeJvmP,6peJVmP,0.872334897518158,0.5043424367904663,0.9468997716903688,0.7144219875335693,0.8500680923461914,0.8056051135063171,0.4443754255771637
mm2TKvE,mm2TKVE,0.9216210842132568,0.8232237696647644,0.951547622680664,0.9996077418327332,0.7533000707626343,0.6179543733596802,0.9999991655349731
74BpL8p,74BpL8p,0.9997392296791076,0.9895148277282716,0.9957200884819032,0.7019244432449341,0.9935250282287598,0.9949169158935548,0.7264092564582825
GvXXYLx,GVXxYLx,0.986364483833313,0.7208544015884399,0.6005101799964905,0.5328902006149292,0.7527301907539368,0.9947347640991212,0.8271355628967285
nfSG3vV,nFSG3VV,0.999970316886902,0.9675942659378052,0.9462209343910216,0.6075302362442017,0.9999920129776,0.6850337386131287,0.8302459716796875
pk6fMjh,pk6FMjh,0.5041198134422302,0.8676427602767944,0.8634136319160461,0.9401699304580688,0.9863539338111876,0.6931179165840149,0.933199107646942
4ncUCpL,4nCUCpL,0.9997592568397522,0.9976329803466796,0.821994960308075,0.9455893635749816,0.9498956203460692,0.7020852565765381,0.9802523851394652
MSSTQKr,MSSTQKr,0.9755915999412536,0.8988867402076721,0.9465309977531432,0.9998648166656494,0.994184911251068,0.6659026741981506,0.9841917753219604
VhyfuMY,VhyFUMY,0.6775487661361694,0.9337083697319032,0.7285652160644531,0.950075626373291,0.7591279745101929,0.9933892488479614,0.9304062724113464
LLjck8k,LLjCk8k,0.993443727493286,0.99434232711792,0.9570461511611938,0.9091180562973022,0.874652624130249,0.9791473746299744,0.9786354899406432
UyC2m74,UyC2m74,0.9268506169319152,0.8274257183074951,0.9474987387657166,0.9140817523002625,0.6756839752197266,0.998724639415741,0.9979717135429382
eQcxBbL,eQCxBbL,0.9999393224716188,0.992323637008667,0.863288938999176,0.695379912853241,0.9977723956108092,0.9991222023963928,0.9927905797958374
2Ydex3e,2Ydex3e,0.8826563358306885,0.9191091656684875,0.9999675750732422,0.9995397329330444,0.8176932334899902,0.9999994039535522,0.9970723390579224
DdexJvb,DdexJVb,0.8066440224647522,0.8152495622634888,0.9925273656845092,0.6966386437416077,0.674225389957428,0.6850337386131287,0.992113471031189
f33qEYn,F339EYn,0.9514899253845216,0.9999929666519164,0.999995231628418,0.8092373013496399,0.9999059438705444,0.7172460556030273,0.9970411658287048
3GFwEP9,3GFWEP9,0.9999260902404784,0.9989553689956664,0.9969364404678344,0.6979233026504517,0.9878371953964232,0.8416807055473328,0.7681094408035278
xmcXr4w,xmCXr4W,0.7960188388824463,0.7965312004089355,0.8241298794746399,0.5098803043365479,0.993725836277008,0.999292254447937,0.7896989583969116
WL8dDyw,WL8dDyW,0.994076132774353,0.9843618869781494,0.9885821342468262,0.3907919824123382,0.9843226075172424,0.8128613233566284,0.7361915111541748
vdsQwJC,VdSQWJC,0.8747095465660095,0.9928395748138428,0.924737274646759,0.997946321964264,0.824248194694519,0.5498112440109253,0.9483524560928344
hME5dYM,hME5dYM,0.7847352623939514,0.9952096343040466,0.9930919408798218,0.9999991655349731,0.750278890132904,0.9685967564582824,0.9550712704658508
CTYkQPV,CTYkQPV,0.9557929039001464,0.9954641461372375,0.8351288437843323,0.9347434043884276,0.9991917014122008,0.5012147426605225,0.6816706657409668
vVQjBbK,VVQjBbK,0.5274327397346497,0.7268772721290588,0.9968736171722412,0.4998997747898102,0.9950933456420898,0.9769665598869324,0.5233430862426758
5cwshMb,5CWShMb,0.9999994039535522,0.8542914390563965,0.6970283389091492,0.9252931475639344,0.870150089263916,0.9958593249320984,0.9855353832244872
8fxCxTr,8FxCxTr,0.9821568131446838,0.947432577610016,0.8311306238174438,0.9624401330947876,0.6192941665649414,0.96890389919281,0.9431813955307008
yQqQykw,yQqQykW,0.7843974828720093,0.9995973706245422,0.8540828824043274,0.9940819144248962,0.8676239252090454,0.9549008011817932,0.8103015422821045
aGLSEGv,aGLSEGV,0.7145503759384155,0.9907228350639344,0.9900563955307008,0.9129881262779236,0.9852012991905212,0.9984241724014282,0.7196640372276306
djn7aW3,djn7aW3,0.8584277033805847,0.3750666677951813,0.9999269247055054,0.9849507808685304,0.9965009689331056,0.9984509944915771,0.9999997615814208
Lrm7EKq,LrM7Ek9,0.9566619396209716,0.8938636183738708,0.8908514380455017,0.9990267753601074,0.9999946355819702,0.5310119986534119,0.8736013174057007
dccXUp7,dCCXUP7,0.8219885230064392,0.8781668543815613,0.7932549118995667,0.5518603920936584,0.9509831666946412,0.6994120478630066,0.998684823513031
TtqfXjn,TtqFxjn,0.9994992017745972,0.9745532274246216,0.9188268780708312,0.952972948551178,0.683227002620697,0.6956207752227783,0.9877810478210448
arG3VhQ,arG3VhQ,0.9866800904273988,0.9980512857437134,0.9974602460861206,0.9999996423721312,0.6370802521705627,0.7477188110351562,0.9990085959434508
SuQnsvj,S4QnSVj,0.9513373970985411,0.6313620805740356,0.9957875609397888,0.9890457391738892,0.9116559028625488,0.8234971165657043,0.4050577878952026
rYBh5G5,rYBn5G5,0.266068696975708,0.5529033541679382,0.9972149133682252,0.5643290281295776,0.999372661113739,0.9940483570098876,0.997974693775177
MUj6rbp,MUj6rbP,0.958082675933838,0.9068454504013062,0.5767301321029663,0.8304892778396606,0.8575869798660278,0.9590435028076172,0.5715839862823486
uQerKMx,uQerkMx,0.6813373565673828,0.9987265467643738,0.9952101111412048,0.8200943470001221,0.5369369387626648,0.9832355976104736,0.7823113203048706
puum2kR,pUUm2kR,0.8200934529304504,0.8044117093086243,0.6592192649841309,0.7872226238250732,0.983143150806427,0.9879143834114076,0.9794379472732544
MvCTsQK,MVCTSQK,0.9920982122421264,0.8695172667503357,0.8326564431190491,0.9629286527633668,0.9217296242713928,0.9954179525375366,0.7669887542724609
EwmtsdD,EWMtSdD,0.9999964237213136,0.8164259195327759,0.841923713684082,0.9726162552833556,0.932356059551239,0.997414231300354,0.728342592716217
2WsSUeF,2WSSUeF,0.9785834550857544,0.997189462184906,0.8042894005775452,0.958809733390808,0.9130592942237854,0.9959522485733032,0.9963176250457764
7hBrmGx,7hBrmGx,0.9998024106025696,0.9363222122192384,0.9966721534729004,0.993725836277008,0.5731859803199768,0.9937639832496644,0.817448079586029
3aXP8nP,3axP8nP,0.9999889135360718,0.5225249528884888,0.6716698408126831,0.9130865335464478,0.9855489134788512,0.9990585446357728,0.8437682390213013
wAdmPFJ,WAdMPFj,0.8690528273582458,0.9904804825782776,0.9970530271530152,0.9112986326217652,0.8768810629844666,0.9756375551223756,0.5502552390098572
jxXtmnh,jxXtmnh,0.4050577282905578,0.8488933444023132,0.5171576142311096,0.74942547082901,0.8159602284431458,0.9999632835388184,0.9723463654518129
6dLTWTL,6dLTWTL,0.3792834281921386,0.8959465026855469,0.8544228076934814,0.96186763048172,0.9999929666519164,0.9994828701019288,0.9476588368415833
DwCQhun,DWCQhUn,0.9154651761054992,0.7300596833229065,0.9535204768180848,0.9995967745780944,0.9222869277000428,0.5353808403015137,0.9993439316749572
BYRdxfU,BYRdxFU,0.9860016107559204,0.5529033541679382,0.9970266222953796,0.6769707202911377,0.9298535585403442,0.874391496181488,0.9465600252151488
